Wlgth	Ta	Wlgth	Ta 0°	Wlgth	Ra 0°
		765.378223720311	0.000360198431602739	765.378223720311	99.9313896130699
		765.461561578564	0.000357018124511766	765.461561578564	99.931435201428
		765.544917587204	0.000353879081299436	765.544917587204	99.9314803888997
		765.62829175216	0.000350780678099861	765.62829175216	99.931525178794
		765.711684079364	0.000347722289710047	765.711684079364	99.9315695743594
		765.795094574751	0.000344703303663721	765.795094574751	99.9316135787067
		765.878523244261	0.000341723109488438	765.878523244261	99.9316571951983
		765.961970093833	0.000338781112113859	765.961970093833	99.931700426983
		766	0.000337453053498636	766	99.9317199994852
		766.04543512941	0.00033587672931323	766.04543512941	99.9317432771603
		766.128918356938	0.000333009393245896	766.128918356938	99.9317857487775
		766.212419782366	0.000330178541577589	766.212419782366	99.9318278447445
		766.295939411644	0.000327383620791322	766.295939411644	99.9318695680553
		766.379477250726	0.000324624088864321	766.379477250726	99.9319109217191
		766.463033305568	0.000321899414610934	766.463033305568	99.9319519086198
		766.546607582128	0.000319209076330684	766.546607582128	99.9319925315988
		766.630200086368	0.00031655256024127	766.630200086368	99.9320327934597
		766.713810824252	0.000313929354546878	766.713810824252	99.9320726968158
		766.797439801746	0.000311338968071887	766.797439801746	99.932112244539
		766.881087024819	0.000308780900686474	766.881087024819	99.9321514384946
		766.964752499444	0.000306254587696506	766.964752499444	99.9321902760329
		767	0.000305199861686399	767	99.9322065312125
		767.048436231593	0.000303759660699249	767.048436231593	99.9322287660115
		767.132138227245	0.000301295694350477	767.132138227245	99.9322669130817
		767.215858492378	0.000298862280875904	767.215858492378	99.9323047223301
		767.299597032975	0.000296458891219273	767.299597032975	99.93234219153
		767.383353855021	0.000294085079220523	767.383353855021	99.9323793230851
		767.467128964502	0.000291740412475334	767.467128964502	99.9324161194364
		767.55092236741	0.000289424475023893	767.55092236741	99.9324525830604
		767.634734069735	0.000287136860970546	767.634734069735	99.9324887163128
		767.718564077475	0.000284877157250013	767.718564077475	99.9325245215399
		767.802412396626	0.000282644957301048	767.802412396626	99.9325600010572
		767.886279033188	0.000280439759344659	767.886279033188	99.9325951515355
